original_inventory_sector,start_time,end_time,gas,emissions_quantity,emissions_factor,emissions_factor_units,capacity,capacity_units,activity,activity_units,source_name
road-transportation,1/1/2021,12/31/2021,n2o,0.664160526,5.77E-09,T of N2O per VKT,136.4745435,km,115000000,vehicle km traveled (VKT),Hangu Urban Area in Kohat Division
road-transportation,1/1/2021,12/31/2021,co2,19754.67596,0.000171761,T of CO2 per VKT,136.4745435,km,115000000,vehicle km traveled (VKT),Hangu Urban Area in Kohat Division
road-transportation,1/1/2021,12/31/2021,ch4,2.420379072,2.10E-08,T of CH4 per VKT,136.4745435,km,115000000,vehicle km traveled (VKT),Hangu Urban Area in Kohat Division
road-transportation,1/1/2022,12/31/2022,n2o,0.773415878,5.77E-09,T of N2O per VKT,155.8103536,km,134000000,vehicle km traveled (VKT),Hangu Urban Area in Kohat Division
road-transportation,1/1/2022,12/31/2022,co2,23004.34827,0.000171761,T of CO2 per VKT,155.8103536,km,134000000,vehicle km traveled (VKT),Hangu Urban Area in Kohat Division
road-transportation,1/1/2022,12/31/2022,ch4,2.818534874,2.10E-08,T of CH4 per VKT,155.8103536,km,134000000,vehicle km traveled (VKT),Hangu Urban Area in Kohat Division
road-transportation,1/1/2021,12/31/2021,n2o,0.65873967,5.77E-09,T of N2O per VKT,147.3329212,km,114000000,vehicle km traveled (VKT),Goth Dabhūn Urban Area in Hyderabad Division
road-transportation,1/1/2021,12/31/2021,co2,19593.43895,0.000171761,T of CO2 per VKT,147.3329212,km,114000000,vehicle km traveled (VKT),Goth Dabhūn Urban Area in Hyderabad Division
road-transportation,1/1/2021,12/31/2021,ch4,2.400624018,2.10E-08,T of CH4 per VKT,147.3329212,km,114000000,vehicle km traveled (VKT),Goth Dabhūn Urban Area in Hyderabad Division
road-transportation,1/1/2022,12/31/2022,n2o,0.772212822,5.77E-09,T of N2O per VKT,170.0685662,km,134000000,vehicle km traveled (VKT),Goth Dabhūn Urban Area in Hyderabad Division
road-transportation,1/1/2022,12/31/2022,co2,22968.5648,0.000171761,T of CO2 per VKT,170.0685662,km,134000000,vehicle km traveled (VKT),Goth Dabhūn Urban Area in Hyderabad Division
road-transportation,1/1/2022,12/31/2022,ch4,2.814150617,2.10E-08,T of CH4 per VKT,170.0685662,km,134000000,vehicle km traveled (VKT),Goth Dabhūn Urban Area in Hyderabad Division
road-transportation,1/1/2021,12/31/2021,n2o,0.782213629,5.77E-09,T of N2O per VKT,151.1549408,km,135000000,vehicle km traveled (VKT),Karachi Urban Area in Hyderabad Division
road-transportation,1/1/2021,12/31/2021,co2,23266.02707,0.000171761,T of CO2 per VKT,151.1549408,km,135000000,vehicle km traveled (VKT),Karachi Urban Area in Hyderabad Division
road-transportation,1/1/2021,12/31/2021,ch4,2.850596239,2.10E-08,T of CH4 per VKT,151.1549408,km,135000000,vehicle km traveled (VKT),Karachi Urban Area in Hyderabad Division
road-transportation,1/1/2022,12/31/2022,n2o,0.763460671,5.77E-09,T of N2O per VKT,151.1550883,km,132000000,vehicle km traveled (VKT),Karachi Urban Area in Hyderabad Division
road-transportation,1/1/2022,12/31/2022,co2,22708.24233,0.000171761,T of CO2 per VKT,151.1550883,km,132000000,vehicle km traveled (VKT),Karachi Urban Area in Hyderabad Division
road-transportation,1/1/2022,12/31/2022,ch4,2.782255432,2.10E-08,T of CH4 per VKT,151.1550883,km,132000000,vehicle km traveled (VKT),Karachi Urban Area in Hyderabad Division
road-transportation,1/1/2021,12/31/2021,n2o,0.715408663,5.77E-09,T of N2O per VKT,97.6069743,km,124000000,vehicle km traveled (VKT),Manawala Urban Area in Lahore Division
road-transportation,1/1/2021,12/31/2021,co2,21278.99168,0.000171761,T of CO2 per VKT,97.6069743,km,124000000,vehicle km traveled (VKT),Manawala Urban Area in Lahore Division
road-transportation,1/1/2021,12/31/2021,ch4,2.607141026,2.10E-08,T of CH4 per VKT,97.6069743,km,124000000,vehicle km traveled (VKT),Manawala Urban Area in Lahore Division
road-transportation,1/1/2022,12/31/2022,n2o,0.763344027,5.77E-09,T of N2O per VKT,100.7420655,km,132000000,vehicle km traveled (VKT),Manawala Urban Area in Lahore Division
road-transportation,1/1/2022,12/31/2022,co2,22704.77289,0.000171761,T of CO2 per VKT,100.7420655,km,132000000,vehicle km traveled (VKT),Manawala Urban Area in Lahore Division
road-transportation,1/1/2022,12/31/2022,ch4,2.781830349,2.10E-08,T of CH4 per VKT,100.7420655,km,132000000,vehicle km traveled (VKT),Manawala Urban Area in Lahore Division
road-transportation,1/1/2021,12/31/2021,n2o,0.52194978,5.77E-09,T of N2O per VKT,121.4750712,km,90400000,vehicle km traveled (VKT),Jampur Urban Area in Dera Ghazi Khan Division
road-transportation,1/1/2021,12/31/2021,co2,15524.78409,0.000171761,T of CO2 per VKT,121.4750712,km,90400000,vehicle km traveled (VKT),Jampur Urban Area in Dera Ghazi Khan Division
road-transportation,1/1/2021,12/31/2021,ch4,1.902124975,2.10E-08,T of CH4 per VKT,121.4750712,km,90400000,vehicle km traveled (VKT),Jampur Urban Area in Dera Ghazi Khan Division
road-transportation,1/1/2022,12/31/2022,n2o,0.755265484,5.77E-09,T of N2O per VKT,165.2069852,km,131000000,vehicle km traveled (VKT),Jampur Urban Area in Dera Ghazi Khan Division
road-transportation,1/1/2022,12/31/2022,co2,22464.4861,0.000171761,T of CO2 per VKT,165.2069852,km,131000000,vehicle km traveled (VKT),Jampur Urban Area in Dera Ghazi Khan Division
road-transportation,1/1/2022,12/31/2022,ch4,2.752389972,2.10E-08,T of CH4 per VKT,165.2069852,km,131000000,vehicle km traveled (VKT),Jampur Urban Area in Dera Ghazi Khan Division
road-transportation,1/1/2021,12/31/2021,n2o,0.691216375,5.77E-09,T of N2O per VKT,184.0456883,km,120000000,vehicle km traveled (VKT),N/A Urban Area in Sukkur Division
road-transportation,1/1/2021,12/31/2021,co2,20559.42045,0.000171761,T of CO2 per VKT,184.0456883,km,120000000,vehicle km traveled (VKT),N/A Urban Area in Sukkur Division
road-transportation,1/1/2021,12/31/2021,ch4,2.51897784,2.10E-08,T of CH4 per VKT,184.0456883,km,120000000,vehicle km traveled (VKT),N/A Urban Area in Sukkur Division
road-transportation,1/1/2022,12/31/2022,n2o,0.73529969,5.77E-09,T of N2O per VKT,201.6064518,km,127000000,vehicle km traveled (VKT),N/A Urban Area in Sukkur Division
road-transportation,1/1/2022,12/31/2022,co2,21870.62696,0.000171761,T of CO2 per VKT,201.6064518,km,127000000,vehicle km traveled (VKT),N/A Urban Area in Sukkur Division
road-transportation,1/1/2022,12/31/2022,ch4,2.679629263,2.10E-08,T of CH4 per VKT,201.6064518,km,127000000,vehicle km traveled (VKT),N/A Urban Area in Sukkur Division
road-transportation,1/1/2021,12/31/2021,n2o,0.680712722,5.77E-09,T of N2O per VKT,195.3746224,km,118000000,vehicle km traveled (VKT),Dijkot Urban Area in Faisalabad Division
road-transportation,1/1/2021,12/31/2021,co2,20247.00161,0.000171761,T of CO2 per VKT,195.3746224,km,118000000,vehicle km traveled (VKT),Dijkot Urban Area in Faisalabad Division
road-transportation,1/1/2021,12/31/2021,ch4,2.480699712,2.10E-08,T of CH4 per VKT,195.3746224,km,118000000,vehicle km traveled (VKT),Dijkot Urban Area in Faisalabad Division
road-transportation,1/1/2022,12/31/2022,n2o,0.734701904,5.77E-09,T of N2O per VKT,197.428956,km,127000000,vehicle km traveled (VKT),Dijkot Urban Area in Faisalabad Division
road-transportation,1/1/2022,12/31/2022,co2,21852.84653,0.000171761,T of CO2 per VKT,197.428956,km,127000000,vehicle km traveled (VKT),Dijkot Urban Area in Faisalabad Division
road-transportation,1/1/2022,12/31/2022,ch4,2.677450772,2.10E-08,T of CH4 per VKT,197.428956,km,127000000,vehicle km traveled (VKT),Dijkot Urban Area in Faisalabad Division
road-transportation,1/1/2021,12/31/2021,n2o,0.662160536,5.77E-09,T of N2O per VKT,132.9520057,km,115000000,vehicle km traveled (VKT),Dadu Urban Area in Hyderabad Division
road-transportation,1/1/2021,12/31/2021,co2,19695.1886,0.000171761,T of CO2 per VKT,132.9520057,km,115000000,vehicle km traveled (VKT),Dadu Urban Area in Hyderabad Division
road-transportation,1/1/2021,12/31/2021,ch4,2.413090571,2.10E-08,T of CH4 per VKT,132.9520057,km,115000000,vehicle km traveled (VKT),Dadu Urban Area in Hyderabad Division
road-transportation,1/1/2022,12/31/2022,n2o,0.734634132,5.77E-09,T of N2O per VKT,172.2821819,km,127000000,vehicle km traveled (VKT),Dadu Urban Area in Hyderabad Division
road-transportation,1/1/2022,12/31/2022,co2,21850.83073,0.000171761,T of CO2 per VKT,172.2821819,km,127000000,vehicle km traveled (VKT),Dadu Urban Area in Hyderabad Division
road-transportation,1/1/2022,12/31/2022,ch4,2.677203793,2.10E-08,T of CH4 per VKT,172.2821819,km,127000000,vehicle km traveled (VKT),Dadu Urban Area in Hyderabad Division
road-transportation,1/1/2021,12/31/2021,n2o,0.568833057,5.77E-09,T of N2O per VKT,148.7408733,km,98500000,vehicle km traveled (VKT),Shujaabad Urban Area in Multan Division
road-transportation,1/1/2021,12/31/2021,co2,16919.2722,0.000171761,T of CO2 per VKT,148.7408733,km,98500000,vehicle km traveled (VKT),Shujaabad Urban Area in Multan Division
road-transportation,1/1/2021,12/31/2021,ch4,2.072980211,2.10E-08,T of CH4 per VKT,148.7408733,km,98500000,vehicle km traveled (VKT),Shujaabad Urban Area in Multan Division
road-transportation,1/1/2022,12/31/2022,n2o,0.732140992,5.77E-09,T of N2O per VKT,177.1503358,km,127000000,vehicle km traveled (VKT),Shujaabad Urban Area in Multan Division
road-transportation,1/1/2022,12/31/2022,co2,21776.67521,0.000171761,T of CO2 per VKT,177.1503358,km,127000000,vehicle km traveled (VKT),Shujaabad Urban Area in Multan Division
road-transportation,1/1/2022,12/31/2022,ch4,2.668118122,2.10E-08,T of CH4 per VKT,177.1503358,km,127000000,vehicle km traveled (VKT),Shujaabad Urban Area in Multan Division
road-transportation,1/1/2021,12/31/2021,n2o,0.679009645,5.77E-09,T of N2O per VKT,110.831248,km,118000000,vehicle km traveled (VKT),Dina Urban Area in Rawalpindi Division
road-transportation,1/1/2021,12/31/2021,co2,20196.34559,0.000171761,T of CO2 per VKT,110.831248,km,118000000,vehicle km traveled (VKT),Dina Urban Area in Rawalpindi Division
road-transportation,1/1/2021,12/31/2021,ch4,2.474493243,2.10E-08,T of CH4 per VKT,110.831248,km,118000000,vehicle km traveled (VKT),Dina Urban Area in Rawalpindi Division
road-transportation,1/1/2022,12/31/2022,n2o,0.728976181,5.77E-09,T of N2O per VKT,117.9050678,km,126000000,vehicle km traveled (VKT),Dina Urban Area in Rawalpindi Division
road-transportation,1/1/2022,12/31/2022,co2,21682.54159,0.000171761,T of CO2 per VKT,117.9050678,km,126000000,vehicle km traveled (VKT),Dina Urban Area in Rawalpindi Division
road-transportation,1/1/2022,12/31/2022,ch4,2.656584699,2.10E-08,T of CH4 per VKT,117.9050678,km,126000000,vehicle km traveled (VKT),Dina Urban Area in Rawalpindi Division
road-transportation,1/1/2021,12/31/2021,n2o,0.660790275,5.77E-09,T of N2O per VKT,180.420165,km,114000000,vehicle km traveled (VKT),Sibi Urban Area in Sibi Division
road-transportation,1/1/2021,12/31/2021,co2,19654.43178,0.000171761,T of CO2 per VKT,180.420165,km,114000000,vehicle km traveled (VKT),Sibi Urban Area in Sibi Division
road-transportation,1/1/2021,12/31/2021,ch4,2.408096972,2.10E-08,T of CH4 per VKT,180.420165,km,114000000,vehicle km traveled (VKT),Sibi Urban Area in Sibi Division
road-transportation,1/1/2022,12/31/2022,n2o,0.662485258,5.77E-09,T of N2O per VKT,183.3081526,km,115000000,vehicle km traveled (VKT),Sibi Urban Area in Sibi Division
road-transportation,1/1/2022,12/31/2022,co2,19704.84707,0.000171761,T of CO2 per VKT,183.3081526,km,115000000,vehicle km traveled (VKT),Sibi Urban Area in Sibi Division
road-transportation,1/1/2022,12/31/2022,ch4,2.414273945,2.10E-08,T of CH4 per VKT,183.3081526,km,115000000,vehicle km traveled (VKT),Sibi Urban Area in Sibi Division
road-transportation,1/1/2021,12/31/2021,n2o,0.571695396,5.77E-09,T of N2O per VKT,127.1846648,km,99000000,vehicle km traveled (VKT),Shahdadpur Urban Area in Mirpur Khas Division
road-transportation,1/1/2021,12/31/2021,co2,17004.40911,0.000171761,T of CO2 per VKT,127.1846648,km,99000000,vehicle km traveled (VKT),Shahdadpur Urban Area in Mirpur Khas Division
road-transportation,1/1/2021,12/31/2021,ch4,2.083411342,2.10E-08,T of CH4 per VKT,127.1846648,km,99000000,vehicle km traveled (VKT),Shahdadpur Urban Area in Mirpur Khas Division
road-transportation,1/1/2022,12/31/2022,n2o,0.639610709,5.77E-09,T of N2O per VKT,149.478833,km,111000000,vehicle km traveled (VKT),Shahdadpur Urban Area in Mirpur Khas Division
road-transportation,1/1/2022,12/31/2022,co2,19024.47044,0.000171761,T of CO2 per VKT,149.478833,km,111000000,vehicle km traveled (VKT),Shahdadpur Urban Area in Mirpur Khas Division
road-transportation,1/1/2022,12/31/2022,ch4,2.330912955,2.10E-08,T of CH4 per VKT,149.478833,km,111000000,vehicle km traveled (VKT),Shahdadpur Urban Area in Mirpur Khas Division
road-transportation,1/1/2021,12/31/2021,n2o,0.61688311,5.77E-09,T of N2O per VKT,132.957242,km,107000000,vehicle km traveled (VKT),Risalpur Urban Area in Peshawar Division
road-transportation,1/1/2021,12/31/2021,co2,18348.46465,0.000171761,T of CO2 per VKT,132.957242,km,107000000,vehicle km traveled (VKT),Risalpur Urban Area in Peshawar Division
road-transportation,1/1/2021,12/31/2021,ch4,2.248087488,2.10E-08,T of CH4 per VKT,132.957242,km,107000000,vehicle km traveled (VKT),Risalpur Urban Area in Peshawar Division
road-transportation,1/1/2022,12/31/2022,n2o,0.637391187,5.77E-09,T of N2O per VKT,132.7424564,km,110000000,vehicle km traveled (VKT),Risalpur Urban Area in Peshawar Division
road-transportation,1/1/2022,12/31/2022,co2,18958.45337,0.000171761,T of CO2 per VKT,132.7424564,km,110000000,vehicle km traveled (VKT),Risalpur Urban Area in Peshawar Division
road-transportation,1/1/2022,12/31/2022,ch4,2.322824423,2.10E-08,T of CH4 per VKT,132.7424564,km,110000000,vehicle km traveled (VKT),Risalpur Urban Area in Peshawar Division
road-transportation,1/1/2021,12/31/2021,n2o,0.617157043,5.77E-09,T of N2O per VKT,146.6073604,km,107000000,vehicle km traveled (VKT),Kamalia Urban Area in Faisalabad Division
road-transportation,1/1/2021,12/31/2021,co2,18356.61247,0.000171761,T of CO2 per VKT,146.6073604,km,107000000,vehicle km traveled (VKT),Kamalia Urban Area in Faisalabad Division
road-transportation,1/1/2021,12/31/2021,ch4,2.249085773,2.10E-08,T of CH4 per VKT,146.6073604,km,107000000,vehicle km traveled (VKT),Kamalia Urban Area in Faisalabad Division
road-transportation,1/1/2022,12/31/2022,n2o,0.630684082,5.77E-09,T of N2O per VKT,148.1519616,km,109000000,vehicle km traveled (VKT),Kamalia Urban Area in Faisalabad Division
road-transportation,1/1/2022,12/31/2022,co2,18758.95839,0.000171761,T of CO2 per VKT,148.1519616,km,109000000,vehicle km traveled (VKT),Kamalia Urban Area in Faisalabad Division
road-transportation,1/1/2022,12/31/2022,ch4,2.298381932,2.10E-08,T of CH4 per VKT,148.1519616,km,109000000,vehicle km traveled (VKT),Kamalia Urban Area in Faisalabad Division
road-transportation,1/1/2021,12/31/2021,n2o,0.356363086,5.77E-09,T of N2O per VKT,99.04667336,km,61700000,vehicle km traveled (VKT),Usta Muhammad Urban Area in Nasirabad Division
road-transportation,1/1/2021,12/31/2021,co2,10599.60207,0.000171761,T of CO2 per VKT,99.04667336,km,61700000,vehicle km traveled (VKT),Usta Muhammad Urban Area in Nasirabad Division
road-transportation,1/1/2021,12/31/2021,ch4,1.298682655,2.10E-08,T of CH4 per VKT,99.04667336,km,61700000,vehicle km traveled (VKT),Usta Muhammad Urban Area in Nasirabad Division
road-transportation,1/1/2022,12/31/2022,n2o,0.627423931,5.77E-09,T of N2O per VKT,162.888236,km,109000000,vehicle km traveled (VKT),Usta Muhammad Urban Area in Nasirabad Division
road-transportation,1/1/2022,12/31/2022,co2,18661.98901,0.000171761,T of CO2 per VKT,162.888236,km,109000000,vehicle km traveled (VKT),Usta Muhammad Urban Area in Nasirabad Division
road-transportation,1/1/2022,12/31/2022,ch4,2.286501066,2.10E-08,T of CH4 per VKT,162.888236,km,109000000,vehicle km traveled (VKT),Usta Muhammad Urban Area in Nasirabad Division
road-transportation,1/1/2021,12/31/2021,n2o,0.585038511,5.77E-09,T of N2O per VKT,133.7855464,km,101000000,vehicle km traveled (VKT),Shakar Garh Urban Area in Gujranwala Division
road-transportation,1/1/2021,12/31/2021,co2,17401.2844,0.000171761,T of CO2 per VKT,133.7855464,km,101000000,vehicle km traveled (VKT),Shakar Garh Urban Area in Gujranwala Division
road-transportation,1/1/2021,12/31/2021,ch4,2.132037228,2.10E-08,T of CH4 per VKT,133.7855464,km,101000000,vehicle km traveled (VKT),Shakar Garh Urban Area in Gujranwala Division
road-transportation,1/1/2022,12/31/2022,n2o,0.608977738,5.77E-09,T of N2O per VKT,135.910625,km,105000000,vehicle km traveled (VKT),Shakar Garh Urban Area in Gujranwala Division
road-transportation,1/1/2022,12/31/2022,co2,18113.32865,0.000171761,T of CO2 per VKT,135.910625,km,105000000,vehicle km traveled (VKT),Shakar Garh Urban Area in Gujranwala Division
road-transportation,1/1/2022,12/31/2022,ch4,2.219278194,2.10E-08,T of CH4 per VKT,135.910625,km,105000000,vehicle km traveled (VKT),Shakar Garh Urban Area in Gujranwala Division
road-transportation,1/1/2021,12/31/2021,n2o,0.57793648,5.77E-09,T of N2O per VKT,91.07695522,km,100000000,vehicle km traveled (VKT),Khar Urban Area in F.A.T.A. Division
road-transportation,1/1/2021,12/31/2021,co2,17190.04282,0.000171761,T of CO2 per VKT,91.07695522,km,100000000,vehicle km traveled (VKT),Khar Urban Area in F.A.T.A. Division
road-transportation,1/1/2021,12/31/2021,ch4,2.106155523,2.10E-08,T of CH4 per VKT,91.07695522,km,100000000,vehicle km traveled (VKT),Khar Urban Area in F.A.T.A. Division
road-transportation,1/1/2022,12/31/2022,n2o,0.606553201,5.77E-09,T of N2O per VKT,100.037885,km,105000000,vehicle km traveled (VKT),Khar Urban Area in F.A.T.A. Division
road-transportation,1/1/2022,12/31/2022,co2,18041.21365,0.000171761,T of CO2 per VKT,100.037885,km,105000000,vehicle km traveled (VKT),Khar Urban Area in F.A.T.A. Division
road-transportation,1/1/2022,12/31/2022,ch4,2.210442532,2.10E-08,T of CH4 per VKT,100.037885,km,105000000,vehicle km traveled (VKT),Khar Urban Area in F.A.T.A. Division
road-transportation,1/1/2021,12/31/2021,n2o,0.602327383,5.77E-09,T of N2O per VKT,153.8029493,km,104000000,vehicle km traveled (VKT),Khwazakhela Urban Area in Malakand Division
road-transportation,1/1/2021,12/31/2021,co2,17915.52162,0.000171761,T of CO2 per VKT,153.8029493,km,104000000,vehicle km traveled (VKT),Khwazakhela Urban Area in Malakand Division
road-transportation,1/1/2021,12/31/2021,ch4,2.195042514,2.10E-08,T of CH4 per VKT,153.8029493,km,104000000,vehicle km traveled (VKT),Khwazakhela Urban Area in Malakand Division
road-transportation,1/1/2022,12/31/2022,n2o,0.606017344,5.77E-09,T of N2O per VKT,155.8791212,km,105000000,vehicle km traveled (VKT),Khwazakhela Urban Area in Malakand Division
road-transportation,1/1/2022,12/31/2022,co2,18025.2752,0.000171761,T of CO2 per VKT,155.8791212,km,105000000,vehicle km traveled (VKT),Khwazakhela Urban Area in Malakand Division
road-transportation,1/1/2022,12/31/2022,ch4,2.208489725,2.10E-08,T of CH4 per VKT,155.8791212,km,105000000,vehicle km traveled (VKT),Khwazakhela Urban Area in Malakand Division
road-transportation,1/1/2021,12/31/2021,n2o,0.480107176,5.77E-09,T of N2O per VKT,93.69439874,km,83100000,vehicle km traveled (VKT),Gujar Khan Urban Area in Rawalpindi Division
road-transportation,1/1/2021,12/31/2021,co2,14280.22491,0.000171761,T of CO2 per VKT,93.69439874,km,83100000,vehicle km traveled (VKT),Gujar Khan Urban Area in Rawalpindi Division
road-transportation,1/1/2021,12/31/2021,ch4,1.749639305,2.10E-08,T of CH4 per VKT,93.69439874,km,83100000,vehicle km traveled (VKT),Gujar Khan Urban Area in Rawalpindi Division
road-transportation,1/1/2022,12/31/2022,n2o,0.591430751,5.77E-09,T of N2O per VKT,117.9165194,km,102000000,vehicle km traveled (VKT),Gujar Khan Urban Area in Rawalpindi Division
road-transportation,1/1/2022,12/31/2022,co2,17591.41408,0.000171761,T of CO2 per VKT,117.9165194,km,102000000,vehicle km traveled (VKT),Gujar Khan Urban Area in Rawalpindi Division
road-transportation,1/1/2022,12/31/2022,ch4,2.155332265,2.10E-08,T of CH4 per VKT,117.9165194,km,102000000,vehicle km traveled (VKT),Gujar Khan Urban Area in Rawalpindi Division
road-transportation,1/1/2021,12/31/2021,n2o,0.465639045,5.77E-09,T of N2O per VKT,72.7806359,km,80600000,vehicle km traveled (VKT),Allahabad Urban Area in Lahore Division
road-transportation,1/1/2021,12/31/2021,co2,13849.88732,0.000171761,T of CO2 per VKT,72.7806359,km,80600000,vehicle km traveled (VKT),Allahabad Urban Area in Lahore Division
road-transportation,1/1/2021,12/31/2021,ch4,1.696913556,2.10E-08,T of CH4 per VKT,72.7806359,km,80600000,vehicle km traveled (VKT),Allahabad Urban Area in Lahore Division
road-transportation,1/1/2022,12/31/2022,n2o,0.57899757,5.77E-09,T of N2O per VKT,88.6124894,km,100000000,vehicle km traveled (VKT),Allahabad Urban Area in Lahore Division
road-transportation,1/1/2022,12/31/2022,co2,17221.6037,0.000171761,T of CO2 per VKT,88.6124894,km,100000000,vehicle km traveled (VKT),Allahabad Urban Area in Lahore Division
road-transportation,1/1/2022,12/31/2022,ch4,2.11002242,2.10E-08,T of CH4 per VKT,88.6124894,km,100000000,vehicle km traveled (VKT),Allahabad Urban Area in Lahore Division
road-transportation,1/1/2021,12/31/2021,n2o,0.511489576,5.77E-09,T of N2O per VKT,92.72884,km,88600000,vehicle km traveled (VKT),Dinga Urban Area in Gujranwala Division
road-transportation,1/1/2021,12/31/2021,co2,15213.65759,0.000171761,T of CO2 per VKT,92.72884,km,88600000,vehicle km traveled (VKT),Dinga Urban Area in Gujranwala Division
road-transportation,1/1/2021,12/31/2021,ch4,1.864005186,2.10E-08,T of CH4 per VKT,92.72884,km,88600000,vehicle km traveled (VKT),Dinga Urban Area in Gujranwala Division
road-transportation,1/1/2022,12/31/2022,n2o,0.55518879,5.77E-09,T of N2O per VKT,101.7872138,km,96100000,vehicle km traveled (VKT),Dinga Urban Area in Gujranwala Division
road-transportation,1/1/2022,12/31/2022,co2,16513.43947,0.000171761,T of CO2 per VKT,101.7872138,km,96100000,vehicle km traveled (VKT),Dinga Urban Area in Gujranwala Division
road-transportation,1/1/2022,12/31/2022,ch4,2.023256842,2.10E-08,T of CH4 per VKT,101.7872138,km,96100000,vehicle km traveled (VKT),Dinga Urban Area in Gujranwala Division
road-transportation,1/1/2021,12/31/2021,n2o,0.425261758,5.77E-09,T of N2O per VKT,99.55331398,km,73600000,vehicle km traveled (VKT),Rana Khemraj Urban Area in Mirpur Khas Division
road-transportation,1/1/2021,12/31/2021,co2,12648.91228,0.000171761,T of CO2 per VKT,99.55331398,km,73600000,vehicle km traveled (VKT),Rana Khemraj Urban Area in Mirpur Khas Division
road-transportation,1/1/2021,12/31/2021,ch4,1.549767895,2.10E-08,T of CH4 per VKT,99.55331398,km,73600000,vehicle km traveled (VKT),Rana Khemraj Urban Area in Mirpur Khas Division
road-transportation,1/1/2022,12/31/2022,n2o,0.554600667,5.77E-09,T of N2O per VKT,116.7967942,km,96000000,vehicle km traveled (VKT),Rana Khemraj Urban Area in Mirpur Khas Division
road-transportation,1/1/2022,12/31/2022,co2,16495.94644,0.000171761,T of CO2 per VKT,116.7967942,km,96000000,vehicle km traveled (VKT),Rana Khemraj Urban Area in Mirpur Khas Division
road-transportation,1/1/2022,12/31/2022,ch4,2.021113564,2.10E-08,T of CH4 per VKT,116.7967942,km,96000000,vehicle km traveled (VKT),Rana Khemraj Urban Area in Mirpur Khas Division
road-transportation,1/1/2021,12/31/2021,n2o,0.577723834,5.77E-09,T of N2O per VKT,164.9653606,km,100000000,vehicle km traveled (VKT),Topi Urban Area in Mardan Division
road-transportation,1/1/2021,12/31/2021,co2,17183.71791,0.000171761,T of CO2 per VKT,164.9653606,km,100000000,vehicle km traveled (VKT),Topi Urban Area in Mardan Division
road-transportation,1/1/2021,12/31/2021,ch4,2.105380584,2.10E-08,T of CH4 per VKT,164.9653606,km,100000000,vehicle km traveled (VKT),Topi Urban Area in Mardan Division
road-transportation,1/1/2022,12/31/2022,n2o,0.552334891,5.77E-09,T of N2O per VKT,160.9123965,km,95600000,vehicle km traveled (VKT),Topi Urban Area in Mardan Division
road-transportation,1/1/2022,12/31/2022,co2,16428.55358,0.000171761,T of CO2 per VKT,160.9123965,km,95600000,vehicle km traveled (VKT),Topi Urban Area in Mardan Division
road-transportation,1/1/2022,12/31/2022,ch4,2.012856467,2.10E-08,T of CH4 per VKT,160.9123965,km,95600000,vehicle km traveled (VKT),Topi Urban Area in Mardan Division
road-transportation,1/1/2021,12/31/2021,n2o,0.488484964,5.77E-09,T of N2O per VKT,122.1291118,km,84600000,vehicle km traveled (VKT),Tando Adam Urban Area in Mirpur Khas Division
road-transportation,1/1/2021,12/31/2021,co2,14529.41239,0.000171761,T of CO2 per VKT,122.1291118,km,84600000,vehicle km traveled (VKT),Tando Adam Urban Area in Mirpur Khas Division
road-transportation,1/1/2021,12/31/2021,ch4,1.780170211,2.10E-08,T of CH4 per VKT,122.1291118,km,84600000,vehicle km traveled (VKT),Tando Adam Urban Area in Mirpur Khas Division
road-transportation,1/1/2022,12/31/2022,n2o,0.549683034,5.77E-09,T of N2O per VKT,143.68169,km,95200000,vehicle km traveled (VKT),Tando Adam Urban Area in Mirpur Khas Division
road-transportation,1/1/2022,12/31/2022,co2,16349.67722,0.000171761,T of CO2 per VKT,143.68169,km,95200000,vehicle km traveled (VKT),Tando Adam Urban Area in Mirpur Khas Division
road-transportation,1/1/2022,12/31/2022,ch4,2.003192392,2.10E-08,T of CH4 per VKT,143.68169,km,95200000,vehicle km traveled (VKT),Tando Adam Urban Area in Mirpur Khas Division
road-transportation,1/1/2021,12/31/2021,n2o,0.546788337,5.77E-09,T of N2O per VKT,56.93227069,km,94700000,vehicle km traveled (VKT),Khangarhi Urban Area in Malakand Division
road-transportation,1/1/2021,12/31/2021,co2,16263.57784,0.000171761,T of CO2 per VKT,56.93227069,km,94700000,vehicle km traveled (VKT),Khangarhi Urban Area in Malakand Division
road-transportation,1/1/2021,12/31/2021,ch4,1.992643338,2.10E-08,T of CH4 per VKT,56.93227069,km,94700000,vehicle km traveled (VKT),Khangarhi Urban Area in Malakand Division
road-transportation,1/1/2022,12/31/2022,n2o,0.548679541,5.77E-09,T of N2O per VKT,58.83472702,km,95000000,vehicle km traveled (VKT),Khangarhi Urban Area in Malakand Division
road-transportation,1/1/2022,12/31/2022,co2,16319.82948,0.000171761,T of CO2 per VKT,58.83472702,km,95000000,vehicle km traveled (VKT),Khangarhi Urban Area in Malakand Division
road-transportation,1/1/2022,12/31/2022,ch4,1.999535391,2.10E-08,T of CH4 per VKT,58.83472702,km,95000000,vehicle km traveled (VKT),Khangarhi Urban Area in Malakand Division
road-transportation,1/1/2021,12/31/2021,n2o,0.56917326,5.77E-09,T of N2O per VKT,117.0015335,km,98600000,vehicle km traveled (VKT),Mehar Urban Area in Hyderabad Division
